abandon[2'b9nd2n]vt. 放弃
symphony['simf2ni]n. 交响乐，交响曲
synapse[sin'9ps]n. 突触
synthetic[sin'4etik]a. 人工的，合成的
synthetics[sin'4etiks]n. 合成科学
table['teibl]n. 表；表格
tabulate['t9bjuleit]vt. 制表；列表显示
tadpole['t9dp2ul]n. 蝌蚪
taint[teint]vt. 沾污；使污染；腐蚀
tale[teil]n. 故事
talent['t9l2nt]n. 才能；天赋
tambourine[t9mb2'ri:n]n. 铃鼓；小手鼓
tank[t98k]n. 水池；坦克
tantalizing['t9ntlaizi8]a. 引人入胜的；挑逗性
tanyard['t9nj1:d]n. (tannery)(制革工场的)鞣(革)桶放置场
tap[t9p]vt. 开发；轻敲
tapeworm['teipw2:m]n. 绦虫
tapir['teip2]n. (动)貘
taproot['t9pru:t]n. 主根，直根；根本
tardiness['t1:dinis]n. 拖拉；迟到
tardy['ta:di]a.  迟的，慢的
tavern['t9v2n]n. 小洒店；客栈
tectonic[tek't0nik]a. 构造的
tectonics[tek't0niks]n. 构造学
telecommute[]vi. (在家通过使用与工作单位连接的计算机终端)远距离工作
telecommuter[]n. 用电脑远距离在家上班的人
telling['teli8]a. 说明问题的；有效的，有力的
temporarily['temp2r2rili]ad. 暂时地
tempt[tempt]vt. 诱惑，吸引
tendency['tend2nsi]n. 趋势，趋向
tentacle['tent2kl]n. 触角
tepee['ti:pi:]n. (圆帷形)帐篷
term[t2:m]n. 术语
termination[t2:mi'nei62n]n. 结束；中止
terminology[t2:mi'n0l2d7i]n. 术语
terrain['terein]n. 地带；地形
terrestrial[ti'restri2l]a. 地球(上)的；陆地上的
terrestrial[ti'restri2l]a. 地球的；陆地的
terrifyingly[]ad. 可怕地
territorial[teri't0:ri2l]a. 领土的
territory['terit2ri]n. 领地；领土
tessellation[tesl'ei62n]n. 镶嵌细工
textile['tekstail]n. 纺织品 a. 纺织的
texture['tekst62]n. (音)谐和统一感；结构；肌理
thaw[40:]vi. 融化
theme[4i:m]n. 主题
thereafter[5/2'ra:ft2]prep. 此后
thermodynamics['42:m2udai'n9miks]n. 热力学
thigh[4ai]n. 大腿
thorny['40:ni]a. 有刺的
thorough['43r2]a. 完全的
thread[4red]n. 线索
threaten['4retn]vt. 恐吓；威胁
threshold['4re6h2uld]a. 起始的n. 门槛；开端
thrifty['4rifti]a. 节俭的
thrust[4r3st]n. 推力；猛冲
thunderous['43nd2r2s]a. 雷声般的
thunderstorm[]n. 暴风雨
thwart[4w0:t]vt. 反对，阻挠
tie[tai]n. 联系；关系，束缚；约束
tightly['taitli]ad. 紧紧地
tile[tail]vt. 贴砖于；用瓦盖
till[til]n. 冰碛物
tilt[tilt]n. 倾斜
timber['timb2]n. 木材
timed[]a. 定时的
timer[]n. 定时器
tint[tint]vt. 给...着色；染色
tissue['tisju:]n. 组织
titanium[tai'teini2m]n. 钛
title['taitl]n. (土地)所有权
toad[t2ud]n. 蟾蜍，癞哈蟆
toil[t0il]a. 艰苦地行走
tolerance['t0l2r2ns]n. 忍受
tolerant['t0l2r2nt]a. 忍受的，宽容的
tolerate['t0l2reit]vt. 忍受
tonal['tounl]a. 音调的，调性的
topaz['toup9z]n. 黄晶，黄玉
topographically[]ad. 地形的
topsoil['t0ps0il]n. 表层土
tornado[t0:'neid2u]n. 龙卷风；旋风
torpor['t0:p2]n. 迟钝；麻木
total['t2utl]a. 完全的；整个的，总体的
totality['tout9liti]n. 全部；整体
tough[t3f]a. (肉等食物)不嫩的，老的；咬不动的，耐寒的；困难的；坚硬的
tour[tu2]n. 巡回演出，vi. 巡回
tourniquet['tu2niket]n. 止血带
tow[t2u]vt. 拖；拉
tower['tau2]n. 高楼大厦
towering['tau2ri8]a. 高耸入云的
toxic['t0ksik]a. 有毒的
trace[treis]n. 痕迹，vt. 追溯；查考
track[tr9k]n. 轨道；路径；进程，一片土地；地带，vt. 跟踪(观察)
trade[treid]vi. 进行交易
tragedy['tr9d7idi]n. 悲剧
trail[treil]n. 小径
trainload['treinloud]n. 列车装载
trait[treit]n. 特征
tranquil['tr98kwil]a. 安静的；宁静的
trans-Appalachian[]横过阿巴拉契山脉的
transaction[tr9n'z9k62n]n. 交易
transcend[tr9n'send]vt. 超越
transformation[tr9nsf2'mei62n]n. 改造
transmission[tr9nz'mi62n]n. 发射；转播
transmit[tr9nz'mit]vt. 传送；传导
transmontane[tr9ns'm0n'tein, tr9nz-]a. 在山那边的
transparent[tr9ns'p/2r2nt]a. 透明的
transplant[tr9ns'pla:nt]vt. 移植
transport[tr9ns'p0:t]vt. 运输
transpose[tr9ns'pouz]vt. 交换；调换
trap[tr9p]n. 通气门；活动门
trapper['tr9p2]n. 设陷阱捕兽者
treason['tri:zn]n. 重叛逆罪；谋反
treasurer[tre72r2]n. 财务主管
treasury['tre72ri]n. 宝藏
treaty['tri:ti]n. 条约，协定
trend[trend]n. 趋向，趋势
trespass['tresp2s]vi. 擅自进入；侵占
trespasser['tresp2s2]n. 侵犯者；违反者
trestle['tresl]n. 高架桥
trial['trai2l]n.试验，a. 试验性的
triangle['trai9ngl]n. 三角形
tribe[traib]n. 部落
tributary['tribjut2ri]a. 进贡的, n. 支流
trigger['trig2]vt. 引起，促使；扣扳机开(枪等)
trillion['trilj2n]n. 万亿；兆
trilogy['tril2d7i]n. 三部曲
trim[trim]vt. 修剪
trivial['trivi2l]a. 细小的；不重要的
troop[tru:p]vi. 成群而行
troupe[tru:p]n. 剧团，戏班
trout[traut]n. 鲑鱼
trumpeter[]n. 小号手
trunk[tr38k]n. 树干
tube[tju:b]n. 隧道；地下铁道,n. 管子，管道
tuner['tju:n2]n. 调音者
tunic['tju:nik]n. 束腰外衣
tunnel['t3nl]n. & vi. 隧道；挖隧道
turbulence['t2:bjul2ns]n. 狂暴；汹涌
turbulent['t2:bjul2nt]a. 汹涌的；骚乱的
twig[twig]n. 小枝
twist[twist]vi. 旋转
twisted[]a. 扭曲的，歪曲的；(喻)恶毒的，邪恶的
two-toed[]两趾的
tycoon[tai'ku:n]n. 巨头
typical['tipik2l]a. 典型的，有代表性的
typify['tipifai]vt. 代表；具有...的特点
tyrannical[tai'r9nikl]a. 暴君的，专横的
ubiquity[ju:'bikwiti]n. 普遍存在，无所不在
ultimate['3ltimit]a. 最终的，最后的
ultimately['3ltimitli]ad. 最终
unaffected[3n2'fektid]a. 不受影响的
unanimity[jun2'nim2ti]n. 全体一致
unattached[3n2't9t6t]a. 未结(订)婚的；非阶属的
unattainable[3n2'tein0bl]a. 达不到的，实现不了的
unbalanced[3n'b9l2nt]a. 不平衡的
uncharted[3n't61:tid]a. 未知的；(海图上)未标明的
unconsciously[3n'k062sli]ad. 无意识地
unconventional[3nk2n'ven62nl]a. 不符合习俗的，异常的
uncover[3n'k3v2]vt. 移去...的覆盖物,发现
uncrumple[3n'kr3mpl]vt. 使回复到平整状态
underestimate[3nd2r'estimeit]vt. 估计过低
undergo[3nd2'g2u]vt. 经历
undergraduate[3nd2'gr9djuit]n. (本科)学生(与postgraduate研究生相对)
underlie[3nd2'lai]vi. 构成...的基础
underlying[3nd2'laii8]a. 基本的,下面的
undermine[3nd2'main]vt. 逐渐损害(削弱)；在...下挖
underscore[3nd2'sk0:]vt. 强调，加强
understanding[3nd2'st9ndi8]a. 善解人意的
undertake[3nd2'teik]vt. 开始进行；承担
undifferentiated['3n'dif2'ren6ieitid]a. 无差别的；一致的
undiminished[3ndi'mini6t]a. 没有削弱的
unearth[3n'2:4]vt. (从地下)发掘；掘出
uneven['3n'i:v2n]a. 不平坦的；不公平的；不均等的
unevenly['3n'i:v2nli]ad. 不均匀的
unexplored['3niks'pl0:d]a. 未经勘探的
unfailing[3n'feili8]a. 始终如一的
unfair['3n'f/2]a. 不公正的
unfold[3n'f2uld]vt. 展开；打开
unhindered[3n'hind2d]a. 不被阻碍的
uniform['ju:nif0:m]a. 均匀的；统一的, n. 制服 v. 穿制服
unimpeded['3nim'pi:did]a. 未受阻碍的
uninhabited['3nin'h9bitid]a. 无人居住的
unionization['ju:nj2nai'zei6n]n. 加入联合组织
unique[ju:'ni:k]a. 独特的
unit['ju:nit]n. 单位,部门
universe['ju:niv2:s]n. 宇宙
unlikely[3n'laikli]a. 不可能的
unrelated[3nri'leitid]a. 不相关的
unresolved[]a. 悬而未决的
unsophisticated[3ns2'fistikeitid]a. 天真的；不懂世故的
unsubstantiated['3ns2b'st9n6ieitid]a. 未经证实的
untapped[3n't9pt]a. 未开发的
untimely[3n'taimli]a. 过时的
unto[]prep.“to”的古体或诗体
untreated[]a. 未加处理的
untwist[3n'twist]vi. 解开，朝向反方向扭开
unwieldy[3n'wi:ldi]a. 难操纵的；庞大的
upgrade['3p'greid]vt. 改善；提高
upheaval[3p'hi:vl]vi. 动荡；动乱
uphold[3p'h2uld]vt. 维护，赞成；举起
upholsterer[]n. 室内装璜商
uproot[3p'ru:t]vt. 连根拔起
upset[3p'set]vt. 打翻；推翻
urban['2:b2n]a. 城市的
urge[2:d7]vt. 力劝；敦促, n. 强烈的欲望，冲动
utilitarian[ju:tili't/2ri2n]a. 实用的，功利的
utility[ju:'tiliti]n. 功用，用途
utilize['ju:tilaiz]vt. 利用
utter['3t2]vt. 发出(声音等)；说
utterly['3t2li]ad. 完全地
vacant['veik2nt]a. 空着的
vaccinate['v9ksineit]vt. 给...接种疫苗；种牛痘
vacuum['v9kju2m]n. 真空
vague[veig]a. 模糊的；含糊不清的
valiant['v9lj2nt]a. 勇敢的
validity[v2'liditi]n. 有效；效力
valor['v9l2]n. 勇猛；英勇
vanish['v9ni6]vt. 消失；突然不见
vapor['veip2]n. 蒸汽
variable['v/2ri2bl]n. 可变数；变量
variance['v/2ri2ns]n. 分岐；差异
variation[v/2ri'ei62n]n. 变异；差异
varied['v/2rid]a. 各种各样的
vary['v/2ri]vi. 变化
vast[va:st]a. 广阔的
vaudeville['v2ud2vil]n. 杂耍；轻歌舞剧
vector['vekt2]n. 传病媒介
vegetation[ved7i'tei62n]n. (总称)植物
vehicle['vi:ikl]n. 工具, 机动车
veil[veil]vt. 揭开
venerable['ven2r2bl]a. 令人尊敬的；神圣庄严的
vent[vent]n. 通风孔；出口
ventilation[venti'lei62n]n. 通风孔；出口
venture['vent62]n. 冒险事业, vi. 冒险前进
venturesome['vent62s2m]a. 好冒险的；大胆的
versatile['v2:s2tail]a. 多才多艺的
versatility[v2:s2'tiliti]n. 多功能；多用途
verse[v2:s]n. 诗歌
version['v2:62n]n. 改编形式，改写本；译本
vertical['v2:tik2l]a. 垂直的
vessel['vesl]n. 船
vest[vest]vt. 赋予
vestige['vestid7]n. (生)退化器官；痕迹,残余，遗迹
veteran['vet2r2n]n. 退役军人,老兵
via['vai2]prep. 取道；通过
viability[vai2'biliti]n. 可行性
vibrant['vaibr2nt]a. 充满活力的
vibration[vai'brei62n]n. 振动
vigorous['vig2r2s]a. 强劲的，有力的；精力充沛的
violently['vai2l2ntli]ad. 猛烈地，激烈地
viral['vair2l]a. 病毒的
virginal[]n. 维金纳琴(16-17世纪一种英国古钢琴类乐器)
virtual['v2:tju2l]a. 实际上起作用的，实质的
virtually['v2:tju2li]ad. 实质上
virtue['v2:tju:]n. 美德
virtuosity[v2:tju'0siti]n. 精湛技巧
virus['vai2r2s]n. 病毒；毒素
visible['viz2bl]a. 可见的
vision['vi72n]n. 视力；视觉
vista['vist2]n. 远景
visual['vizju2l]a. 视觉的
vital['vaitl]a. 重要的
void[v0id]n. 空间；真空
volcanic[v0l'k9nik]a. 火山的
volcanism['v0lk2nizm]n. 火山现象
volcano[v0l'kein2u]n. 火山
volt[v2ult]n. 伏特
volume['v0ljum]n. 卷；册
voluntary['v0l2nt2ri]a. 自愿的
vote[v2ut]vi. 选举；投票
voter['v2ut2]n. 选举人
vow[vau]vt. 立誓要做；郑重地宣告
vulnerable['v3ln2r2bl]a. 易受影响的；易受伤的
wade[weid]vi. 涉水
wagon['w9g2n]n. 篷车；四轮货运马车
waist[weist]n. 腰
walrus['w0:lr2s]n. 海象
wander['w0nd2]vt. 漫游
warehouse['w/2haus 'w/2hauz]n. 货栈
warfare['w0:f/2]n. 战争
warrior['w0ri2]n. 武士；斗士
warrior['w0ri2]n. 武士
water-conserving[]水土保护的
water-power[]水力
watercourse[]n. 水路
waterfall['w0:t2f0:l]n. 瀑布
waterfront[]n. 海滨
wavy-looking[]a. 波浪形的
wax[w9ks]n. 蜡
wealth[wel4]n. 大量
weaponry['wep2nri]n. (总称)武器，兵器
weather['we52]vi. 风化，受风蚀
weather-beaten[]经风吹日晒的
weave['wi:v]vt. 编织
wedge-shaped[]a. 楔形的
weed[wi:d]n. 杂草；野草
welfare['welf/2]n. 幸福；福利
well[wel]至相当的程度；颇；甚
well-established[]生长得很好的
whale[weil]n. 鲸
wharf[w0:f]n. 码头
whereas[w/2r'9z]conj. 尽管
whilst['wailst]conj. 当...的时候
whim[wim]n. 冲动
whistle['wisl]vi. 吹口哨，n. 哨子
wholesale['h2ulseil]a. 大规模的
wick[wik]n. 灯芯；油绳
wicker['wik2]n. 柳条；柳条编的
widow['wid2u]n. 寡妇；遗孀
wildcatter[]n. 盲目开采油井者
wilderness['wild2nis]n. 荒地
willow['wil2u]n. 杨柳
wispy['wispi]a. 模糊的
wit[wit]n. 聪明才智
withdraw[wi5'dr0:]vi. 撤退
withstand[wi5'st9nd]vt. 忍受
witness['witnis]vt. 亲眼目睹
woolly['wuli]a. 毛茸茸的
works[]n. 工厂
wow[]int. 哇
wreck[rek]vt. 使破坏；使毁灭
wretched['ret6id]a. 令人苦恼的；可怜的
wrist[rist]n. 腕部
writhe[rai5]vi. 扭动；缠绕
X-ray['eks'rei]n. X射线
yelp[jelp]vi. 狺吠；叫喊
yield[ji:ld]vt. 屈服，生产，产量
yielding['ji:ldi8]a. 柔性的；易弯曲的
youngster['j38st2]n. 年轻人
zigzag['zigz9g]a. 之字形的，曲折的
zone[z2un]n. 带；圈；层
